43,Minneapolis,1000,https://www.realtor.com/realestateandhomes-detail/3739-N-6th-St_Minneapolis_MN_55412_M70852-86921
44,Brooklyn Park,966,https://www.realtor.com/realestateandhomes-detail/6474-84th-Ct-N_Brooklyn-Park_MN_55445_M81390-11711
45,Brooklyn Park,924,https://www.realtor.com/realestateandhomes-detail/6536-83rd-Ct-N_Brooklyn-Park_MN_55445_M84428-52311
46,Plymouth,926,https://www.realtor.com/realestateandhomes-detail/4300-Trenton-Ln-N-2307_Plymouth_MN_55442_M83207-36344
47,New Hope,988,https://www.realtor.com/realestateandhomes-detail/2800-Hillsboro-Ave-N-Apt-209_New-Hope_MN_55427_M78485-35061
48,Bloomington,920,https://www.realtor.com/realestateandhomes-detail/7501-W-101st-St-Apt-108_Bloomington_MN_55438_M82240-87931
49,Crystal,1187,https://www.realtor.com/realestateandhomes-detail/4710-58th-Ave-N-Apt-222_Crystal_MN_55429_M83756-95232
50,New Hope,1014,https://www.realtor.com/realestateandhomes-detail/2801-Flag-Ave-N-Apt-117_New-Hope_MN_55427_M82622-73631
51,Edina,764,https://www.realtor.com/realestateandhomes-detail/4120-Parklawn-Ave-Apt-332_Edina_MN_55435_M71896-11261
52,Minneapolis,650,https://www.realtor.com/realestateandhomes-detail/3018-Aldrich-Ave-S-Apt-2_Minneapolis_MN_55408_M88947-61692
53,Minneapolis,939,https://www.realtor.com/realestateandhomes-detail/3823-Bryant-Ave-N_Minneapolis_MN_55412_M76876-16869
54,Saint Anthony,937,https://www.realtor.com/realestateandhomes-detail/2601-Kenzie-Ter-Apt-402_Minneapolis_MN_55418_M75682-19419
55,Minneapolis,1042,https://www.realtor.com/realestateandhomes-detail/1835-Park-Ave-Apt-1_Minneapolis_MN_55404_M83624-18407
57,Brooklyn Center,904,https://www.realtor.com/realestateandhomes-detail/5435-72nd-Cir-N_Brooklyn-Center_MN_55429_M88753-93031
60,Minneapolis,510,https://www.realtor.com/realestateandhomes-detail/433-S-7th-St-Apt-1804_Minneapolis_MN_55415_M88502-48120
61,Saint Louis Park,808,https://www.realtor.com/realestateandhomes-detail/450-Ford-Rd-Unit-223_Minneapolis_MN_55426_M70970-11172
62,Columbia Heights,1214,https://www.realtor.com/realestateandhomes-detail/1011-41st-Ave-NE-Apt-323_Columbia-Heights_MN_55421_M83149-85679
63,Edina,720,https://www.realtor.com/realestateandhomes-detail/6650-Vernon-Ave-S-Apt-116_Edina_MN_55436_M85164-88408
64,Edina,715,https://www.realtor.com/realestateandhomes-detail/7310-York-Ave-S-Apt-205_Edina_MN_55435_M72016-78057
65,Edina,719,https://www.realtor.com/realestateandhomes-detail/7310-York-Ave-S-Apt-203_Edina_MN_55435_M80913-42362
66,Minneapolis,790,https://www.realtor.com/realestateandhomes-detail/2615-Park-Ave-Apt-307_Minneapolis_MN_55407_M71848-15327
67,Coon Rapids,1152,https://www.realtor.com/realestateandhomes-detail/12248-Killdeer-St-NW_Coon-Rapids_MN_55448_M82429-02341
68,Edina,800,https://www.realtor.com/realestateandhomes-detail/6450-York-Ave-S-Apt-313_Edina_MN_55435_M80850-27881
69,Fridley,780,https://www.realtor.com/realestateandhomes-detail/1601-N-Innsbruck-Dr-Apt-335_Fridley_MN_55432_M85660-45477
70,Minneapolis,1002,https://www.realtor.com/realestateandhomes-detail/239-26th-Ave-NE_Minneapolis_MN_55418_M79660-63101
71,Columbia Heights,969,https://www.realtor.com/realestateandhomes-detail/4160-3rd-St-NE-Unit-101_Columbia-Heights_MN_55421_M73351-17280
72,Brooklyn Park,990,https://www.realtor.com/realestateandhomes-detail/7823-85th-Ct-N_Brooklyn-Park_MN_55445_M82106-48225
73,Minneapolis,472,https://www.realtor.com/realestateandhomes-detail/15-S-1st-St-Apt-1207_Minneapolis_MN_55401_M87993-90105
74,Minneapolis,902,https://www.realtor.com/realestateandhomes-detail/3346-Upton-Ave-N_Minneapolis_MN_55412_M81376-39872
75,Minneapolis,1313,https://www.realtor.com/realestateandhomes-detail/2139-James-Ave-N_Minneapolis_MN_55411_M83037-58145
76,Minneapolis,1370,https://www.realtor.com/realestateandhomes-detail/3347-Humboldt-Ave-N_Minneapolis_MN_55412_M80500-45830
77,Blaine,1100,https://www.realtor.com/realestateandhomes-detail/124-96th-Ln-NE_Blaine_MN_55434_M85861-02595
78,Edina,900,https://www.realtor.com/realestateandhomes-detail/4360-Brookside-Ct-Apt-116_Edina_MN_55436_M79066-16218
79,Minneapolis,1248,https://www.realtor.com/realestateandhomes-detail/3442-Morgan-Ave-N_Minneapolis_MN_55412_M86067-61225
80,Edina,1054,https://www.realtor.com/realestateandhomes-detail/6670-Vernon-Ave-S-Apt-111_Edina_MN_55436_M83209-45263
81,Minneapolis,590,https://www.realtor.com/realestateandhomes-detail/2739-Girard-Ave-S-Apt-106_Minneapolis_MN_55408_M79051-29433
82,Coon Rapids,942,https://www.realtor.com/realestateandhomes-detail/11311-Ibis-St-NW_Coon-Rapids_MN_55433_M80897-65211
83,Minneapolis,1004,https://www.realtor.com/realestateandhomes-detail/1213-E-26th-St_Minneapolis_MN_55404_M70624-74906
84,Minneapolis,1660,https://www.realtor.com/realestateandhomes-detail/820-Logan-Ave-N_Minneapolis_MN_55411_M79260-00286
