1,2018,958,71433
1,2017,857,71433
1,2016,651,65874
1,2015,723,45240
1,2014,617,51159
1,2013,764,39660
1,2012,998,76600
1,2011,1032,68490
2,2018,1244,72210
2,2017,867,72210
2,2016,704,54770
2,2015,748,40600
2,2014,555,43870
2,2013,559,29200
2,2012,621,29800
2,2011,683,35200
3,2018,1156,86300
3,2017,1024,86300
3,2016,1041,75000
3,2015,935,75000
3,2014,801,70000
3,2013,788,57000
3,2012,811,57000
3,2011,1040,60000
4,2018,1724,105005
4,2017,1721,105005
4,2016,1778,101735
4,2015,1721,101735
4,2014,1592,93015
4,2013,1490,85385
4,2012,1455,79390
4,2011,1577,79390
5,2018,688,39060
5,2017,709,39060
5,2016,658,38160
5,2015,618,34920
5,2014,563,31800
5,2013,669,27000
5,2012,678,33480
5,2011,952,36240
6,2018,1322,85000
6,2017,1209,85000
6,2016,1089,75500
6,2015,1076,65500
6,2014,1076,60500
6,2013,1136,55500
6,2012,1125,62000
6,2011,1210,59225
7,2018,719,47780
7,2017,708,47780
7,2016,645,45600
7,2015,567,39000
7,2014,574,33900
7,2013,602,32340
7,2012,758,34800
7,2011,895,45240
8,2018,1211,80800
8,2017,1174,80800
8,2016,1081,81600
8,2015,948,72400
8,2014,798,61600
8,2013,1016,49700
8,2012,1023,67100
8,2011,970,68900
9,2011,,52000
9,2010,,52000
9,2009,,61000
10,2018,1322,88000
10,2017,1350,88000
10,2016,1296,84000
10,2015,1085,81500
10,2014,968,65000
10,2013,1071,54000
10,2012,1402,59500
10,2011,1306,73000
11,2018,828,51268
11,2017,790,51268
11,2016,760,50941
11,2015,825,46690
11,2014,991,48979
11,2013,1037,57590
11,2012,1052,65002
11,2011,1104,67400
12,2018,1801,95740
12,2017,1947,95740
12,2016,1962,91925
12,2015,1489,83532
12,2014,1231,76120
12,2013,1403,57154
12,2012,1672,90000
12,2011,1755,87892
14,2018,1371,88110
14,2017,1220,88110
14,2016,1065,75575
14,2015,913,63040
14,2014,925,50505
14,2013,1042,47780
14,2012,1209,54320
14,2011,1285,65220
15,2018,991,73000
15,2017,850,73000
15,2016,836,69000
15,2015,737,65000
15,2014,607,58000
15,2013,703,42900
15,2012,719,51000
15,2011,534,55000
16,2018,46,3700
16,2017,47,3700
16,2016,48,3700
16,2015,49,3700
16,2014,53,3700
16,2013,50,3700
16,2012,49,3700
16,2011,45,3700
17,2018,690,46472
17,2017,626,46472
17,2016,641,42000
17,2015,596,42000
17,2014,580,40200
17,2013,588,37200
17,2012,585,38400
17,2011,540,39000
18,2018,636,36060
18,2017,653,36060
18,2016,609,35220
