54,62789,9/5/2013,Listed
54,87250,2/22/2002,Sold
54,62600,5/17/1999,Sold
55,129900,2/11/2019,Price Changed
55,149900,1/22/2019,Price Changed
55,134900,12/2/2018,Price Changed
55,144900,11/17/2018,Price Changed
55,149900,11/7/2018,Price Changed
55,159900,10/29/2018,Listed
57,134900,12/20/2018,Listed
57,92500,3/15/2012,Sold
57,114900,2/7/2008,Listed
57,131000,8/3/2006,Sold
57,129900,5/22/2006,Listed
57,125444,11/14/2003,Sold
57,129900,8/5/2003,Listed
57,92500,10/9/2001,Sold
60,120000,1/4/2019,Relisted
60,120000,10/14/2018,Listed
60,120000,6/1/2018,Listed
60,54900,6/6/2011,Sold
60,54900,4/16/2011,Listed
60,94500,11/8/2009,Price Changed
60,114900,12/1/2008,Listed
60,93000,3/12/2003,Sold
61,129900,1/30/2019,Price Changed
61,119900,12/13/2018,Listed
61,77000,11/7/2018,Sold
62,129900,12/11/2018,Listed
63,119900,12/7/2018,Listed
63,124750,6/28/2006,Sold
63,112500,1/17/2003,Sold
63,48000,10/14/1993,Sold
63,59000,1/4/1990,Sold
64,123000,12/6/2018,Listed
64,107450,9/27/2002,Sold
64,109900,8/23/2002,Listed
65,115000,11/16/2018,Listed
66,119000,8/26/2018,Listed
67,118000,11/19/2018,Listed
67,124900,10/24/2001,Sold
67,103000,7/7/2000,Sold
68,123900,11/2/2018,Listed
68,79900,7/29/2016,Sold
68,79900,5/10/2016,Listed
68,62500,3/26/2014,Sold
68,64900,3/18/2014,Sold
68,649000,2/25/2014,Listed
68,64500,10/25/1999,Sold
69,119900,1/31/2019,Price Changed
69,125000,10/16/2018,Listed
69,89900,8/18/2017,Sold
69,89900,6/8/2017,Listed
70,120000,11/1/2018,Listed
70,44000,2/25/2010,Sold
70,25526,9/30/2008,Sold
70,600000,3/18/2003,Sold
70,460000,2/14/2002,Sold
71,135000,2/11/2019,Listed
71,137500,3/28/2007,Sold
71,137500,2/23/2007,Sold
71,144900,11/2/2006,Listed
72,135000,2/11/2019,Listed
72,119900,4/30/2018,Sold
72,119900,3/20/2018,Listed
72,90500,10/5/2001,Sold
73,142500,2/5/2019,Listed
73,71500,9/15/2010,Sold
